Domain,Area,Element,Months,Year,Value
"Temperature change on land","Northern America","Temperature change","August","1980","0.374"
"Temperature change on land","Northern America","Temperature change","August","1981","0.659"
"Temperature change on land","Northern America","Temperature change","August","1982","-0.593"
"Temperature change on land","Northern America","Temperature change","August","1983","1.048"
"Temperature change on land","Northern America","Temperature change","August","1984","0.652"
"Temperature change on land","Northern America","Temperature change","August","1985","-0.473"
"Temperature change on land","Northern America","Temperature change","August","1986","-0.296"
"Temperature change on land","Northern America","Temperature change","August","1987","-0.315"
"Temperature change on land","Northern America","Temperature change","August","1988","0.818"
"Temperature change on land","Northern America","Temperature change","August","1989","0.486"
"Temperature change on land","Northern America","Temperature change","August","1990","0.426"
"Temperature change on land","Northern America","Temperature change","August","1991","0.792"
"Temperature change on land","Northern America","Temperature change","August","1992","-0.646"
"Temperature change on land","Northern America","Temperature change","August","1993","0.192"
"Temperature change on land","Northern America","Temperature change","August","1994","0.362"
"Temperature change on land","Northern America","Temperature change","August","1995","0.705"
"Temperature change on land","Northern America","Temperature change","August","1996","0.199"
"Temperature change on land","Northern America","Temperature change","August","1997","0.256"
"Temperature change on land","Northern America","Temperature change","August","1998","1.244"
"Temperature change on land","Northern America","Temperature change","August","1999","0.672"
"Temperature change on land","Northern America","Temperature change","August","2000","0.549"
"Temperature change on land","Northern America","Temperature change","August","2001","1.25"
"Temperature change on land","Northern America","Temperature change","August","2002","0.395"
"Temperature change on land","Northern America","Temperature change","August","2003","1.271"
"Temperature change on land","Northern America","Temperature change","August","2004","-0.281"
"Temperature change on land","Northern America","Temperature change","August","2005","0.756"
"Temperature change on land","Northern America","Temperature change","August","2006","0.75"
